Designator,Mid X,Mid Y,Rotation,Layer
SW5,48.349962,-86.75,90.0,bottom
SW7,48.349962,-72.75,90.0,bottom
SW8,67.737462,-145.0875,0.0,bottom
SW9,55.737462,-145.0875,0.0,bottom
U1,54.0,-79.8,270.0,bottom
U10,49.500001,-121.999999,0.0,bottom
U11,84.7,-94.2,0.0,bottom
U12,47.45,-136.060068,270.0,bottom
U13,61.905,-125.025,0.0,bottom
U2,85.099108,-86.215328,270.0,bottom
U3,78.65,-84.15,180.0,bottom
U4,57.5,-102.5,270.0,bottom
U5,86.9,-76.6,0.0,bottom
U6,98.0,-99.4,0.0,bottom
U7,100.15,-129.73895,0.0,bottom
U8,90.1,-52.5,90.0,bottom
U9,79.633734,-70.482636,0.0,bottom
